7656,,,,
city,latitude,longitude,address,services
Anacortes Washington 98221,48.49381,-122.632879,Safeway-Anacortes #593,drive thru;24/7;cold brew
Anacortes Washington 98221,48.508615,-122.622809,Commercial - 17th Anacortes,cold brew
Anaheim California 92801,33.851225,-117.941779,Euclid - Crescent  Anaheim,24/7;breakfast
Anaheim California 92802,33.80794,-117.924889,Hilton - Anaheim Hotel Lobby,breakfast;drive thru;cold brew;24/7
Anaheim California 92802,33.83157,-117.941494,Anaheim Marriott Hotel,cold brew;drive thru;breakfast;24/7
Anaheim California 928045314,33.838299,-117.940102,Brookhurst - Ball  Anaheim,drive thru;24/7;breakfast
Anaheim California 92805,33.83276,-117.915719,Stadium Crossings - Anaheim,24/7;cold brew;drive thru;breakfast
Anaheim California 92807,33.850585,-117.836517,Tustin - 91 Fwy  Anaheim,cold brew;breakfast;24/7
Anaheim California 928081102,33.840321,-117.779022,Vons-Anaheim Hills #2216,cold brew;24/7;drive thru
Anaheim Hills California 92807,33.849531,-117.790234,Vons-Anaheim #2103,drive thru;cold brew
Anaheim Hills California 92807,33.850619,-117.778751,Anaheim Hills,cold brew;drive thru;breakfast;24/7
Anaheim Hills California 928073229,33.86869,-117.749062,Santa Ana Canyon - Imperial Hwy  An,24/7
Anaheim Hills California 92808,33.858189,-117.742738,Sycamore Canyon Plaza - Anaheim Hil,24/7;drive thru;breakfast
Anaheim Hills California 928081249,33.864227,-117.745041,Weir Canyon - Monte Vista,cold brew
Ancaster Ontario L9K 1L5,43.224699,-79.947892,Meadowlands   Chapters,cold brew;drive thru;breakfast
Anchorage Alaska 995084283,42.834995,-85.475739,Fred Meyer - Anchorage #11,drive thru
Anchorage Alaska 995151400,42.834995,-85.475739,Fred Meyer - Anchorage (Dimond) #71,24/7;breakfast;drive thru
Anderson Indiana 46013,40.071582,-85.655996,43rd - Scatterfield,24/7;breakfast;cold brew;drive thru
Andover Massachusetts 01810,42.667855,-71.168871,Andover,drive thru
Andover Minnesota 55304,45.250532,-93.287409,Target Andover T-2025,drive thru;cold brew;breakfast;24/7
Angels Camp California 95221,38.080485,-120.556119,Hwy 4 - Hwy 49 - Angels Camp,24/7;cold brew;drive thru
Ankeny Iowa 50021,41.731855,-93.585489,Ankeny-Delaware - Shurfine,cold brew;breakfast;24/7;drive thru
Ankeny Iowa 50021,41.731855,-93.585489,Super Target Ankeny ST-1767,breakfast;cold brew;24/7
Ankeny Iowa 500211761,41.697807,-93.612259,Hy Vee Foods-Ankeny #1022,breakfast
Ann Arbor Michigan 48103,42.213355,-83.797384,S. University,cold brew;drive thru
Ann Arbor Michigan 48103,42.296105,-83.820709,Kroger-Ann Arbor #688,drive thru;breakfast;cold brew
Ann Arbor Michigan 48103,42.296105,-83.820709,Meijer-Ann Arbor #64,breakfast
Ann Arbor Michigan 48104,42.254355,-83.739659,State - Liberty,drive thru;breakfast;24/7;cold brew
Ann Arbor Michigan 48104,42.281875,-83.748479,Ann Arbor  Main - Liberty,drive thru
Ann Arbor Michigan 48104,42.281875,-83.748479,Arborland Relocation,cold brew;24/7;breakfast
Ann Arbor Michigan 48104,42.281875,-83.748479,Marshall Fields-Briarwood Mall,drive thru;cold brew;breakfast;24/7
Ann Arbor Michigan 481052469,42.281872,-83.748459,Kroger-Ann Arbor #605,breakfast;cold brew;24/7;drive thru
Ann Arbor Michigan 48108,42.22964,-83.727699,Briarwood Mall Kiosk,drive thru;breakfast
Annandale Virginia 22003,38.81228,-77.184184,Bradlick Shopping Center,24/7;drive thru;breakfast;cold brew
Annandale Virginia 22003,38.84258,-77.199484,Safeway - Annandale #1588,cold brew
Annapolis Maryland 21041,39.26873,-76.799439,Safeway-Annapolis #2629,drive thru;breakfast
Annapolis Maryland 21401,38.9767,-76.489934,Annapolis Harbour,cold brew;24/7;drive thru;breakfast
Annapolis Maryland 21401,38.9767,-76.489934,Annapolis Mall Kiosk,24/7;drive thru;cold brew
Annapolis Maryland 21401,38.97724,-76.485244,Dock Street (Annapolis),drive thru
Annapolis Maryland 21401,38.98836,-76.547994,Safeway-Annapolis #1460,cold brew;24/7
Anthem Arizona 85086,33.84123,-112.113133,Safeway-Anthem #1726,breakfast;24/7;cold brew;drive thru
Anthem Arizona 850860416,33.856014,-112.144234,Anthem - I-17  Anthem,24/7;cold brew
Antioch California 94509,38.012495,-121.842364,Antioch,24/7
Antioch California 94509,38.018135,-121.751509,Safeway-Antioch #1259,breakfast;drive thru
Antioch California 94531,37.969629,-121.775885,Lone Tree - Slatten Ranch - Antioch,breakfast;cold brew;24/7
Antioch Tennessee 37013,36.047906,-86.653049,Bell Rd - Hickory Hollow,24/7;cold brew
Antioch Tennessee 37013,36.05365,-86.641359,Target Antioch T-145,breakfast
Apex North Carolina 275028061,35.732601,-78.853203,Super Target Apex ST-1932,breakfast;cold brew
